"","date","Team","Opponent","Player","#","Pos","Age","Club","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG","npxG","xAG","SCA","GCA","Cmp","Att","Cmp%","PrgP","Carries","PrgC","Att","Succ"
"68","United States-November-29","IR","Iran","Saeid Ezatolahi","6","CM","26-059","2.dk Vejle BK","90","0","0","0","0","1","0","0","0","66","1","1","0","0.0","0.0","0.0","1","0","40","53","75.5","2","38","0","0","0"
"69","United States-November-29","IR","Iran","Ali Gholizadeh","17","RM,AM","26-264","1.be Charleroi","78","0","0","0","0","0","0","0","0","30","0","1","3","0.0","0.0","0.0","0","0","14","23","60.9","1","18","0","3","3"
"70","United States-November-29","IR","Iran","Karim Ansarifard","10","AM","32-240","1.cy AC Omonia","12","0","0","0","0","0","0","0","0","4","0","0","1","0.0","0.0","0.0","0","0","2","2","100.0","0","2","0","0","0"
"71","United States-November-29","IR","Iran","Milad Mohammadi","5","LB","29-061","1.gr AEK Athens","44","0","0","0","0","0","0","0","0","25","5","0","0","0.0","0.0","0.0","0","0","14","17","82.4","1","10","0","0","0"
"72","United States-November-29","IR","Iran","Ali Karimi","18","LM","28-291","1.tr Kayserispor","46","0","0","0","0","0","0","0","0","39","1","3","0","0.0","0.0","0.0","1","0","27","31","87.1","3","22","1","0","0"
"73","United States-November-29","IR","Iran","Morteza Pouraliganji","8","CB","30-224","1.ir Persepolis","90","0","0","0","0","1","0","0","0","80","1","1","3","0.0","0.0","0.2","1","0","58","71","81.7","2","56","1","0","0"
"74","United States-November-29","IR","Iran","Majid Hosseini","19","CB","26-162","1.tr Kayserispor","90","0","0","0","0","0","0","1","0","71","3","4","1","0.0","0.0","0.0","1","0","51","59","86.4","2","41","0","0","0"
"75","United States-November-29","IR","Iran","Ramin Rezaeian","23","RB","32-253","1.ir Sepahan","90","0","0","0","0","0","0","0","0","71","4","2","0","0.0","0.0","0.2","2","0","40","58","69.0","3","39","5","1","1"
"76","United States-November-29","IR","Iran","Alireza Beiranvand","1","GK","30-069","1.ir Persepolis","90","0","0","0","0","0","0","0","0","29","0","0","0","0.0","0.0","0.0","0","0","20","28","71.4","0","21","0","0","0"
"77","United States-November-29","Iran","IR","Josh Sargent","24","FW","22-282","2.eng Norwich City","76","0","0","0","0","3","1","0","0","30","0","1","1","0.1","0.1","0.1","2","0","18","21","85.7","1","18","2","2","2"
"78","United States-November-29","Iran","IR","Haji Wright","19","FW","24-247","1.tr Antalyaspor","14","0","0","0","0","1","1","0","0","8","0","0","0","0.1","0.1","0.0","0","0","1","4","25.0","1","3","1","0","0"
